RC circuit simulation with RK4 :************************************************
t= 0.0	v1= 0.0	v2= 0.0
t= 56.20000000000013	v1= 0.2351120552289955	v2= 0.1774734841401667
t= 56.400000000000134	v1= 0.2293484723018787	v2= 0.17506715445747173
t= 56.600000000000136	v1= 0.22376355299239029	v2= 0.17264393966289537
t= 56.80000000000014	v1= 0.21835000052390433	v2= 0.17020793303675072
t= 57.00000000000014	v1= 0.21310088155348667	v2= 0.16776292786046818
t= 57.200000000000145	v1= 0.20800960622247516	v2= 0.16531243610989546
t= 57.40000000000014	v1= 0.20306990934490077	v2= 0.16285970603563016
t= 57.60000000000014	v1= 0.1982758326679524	v2= 0.1604077386956892
t= 57.800000000000146	v1= 0.1936217081425114	v2= 0.15795930350200701
t= 58.00000000000015	v1= 0.18910214214538137	v2= 0.1555169528386628
t= 58.20000000000015	v1= 0.1847120005982312	v2= 0.15308303580635588
t= 58.400000000000155	v1= 0.18044639493146158	v2= 0.15065971114446372
t= 58.60000000000015	v1= 0.1763006688442141	v2= 0.14824895937901805
t= 58.80000000000015	v1= 0.17227038581457396	v2= 0.14585259424211103
t= 59.000000000000156	v1= 0.16835131731668604	v2= 0.14347227340558386
t= 59.20000000000016	v1= 0.16453943170401628	v2= 0.14110950856934584
t= 59.40000000000016	v1= 0.16083088372035698	v2= 0.13876567494231415
t= 59.600000000000165	v1= 0.15722200460240354	v2= 0.13644202015174323
t= 59.80000000000017	v1= 0.15370929273982933	v2= 0.1341396726146222
t= 60.00000000000016	v1= 0.15028940486076273	v2= 0.13185964940284894
t= 60.200000000000166	v1= 0.14892452271243287	v2= 0.12962006363203546
t= 60.40000000000017	v1= 0.15149158266229912	v2= 0.1274802590086103
t= 60.60000000000017	v1= 0.15783906188313923	v2= 0.12551192321425536
t= 60.800000000000175	v1= 0.1678227286165854	v2= 0.12378103373679263
t= 61.00000000000018	v1= 0.18130524788113328	v2= 0.12234822085809495
t= 61.20000000000018	v1= 0.1961904345445934	v2= 0.12125190889742883
t= 61.400000000000176	v1= 0.21047366501645193	v2= 0.12048450938213483
t= 61.60000000000018	v1= 0.224184752654042	v2= 0.12002161569683384
t= 61.80000000000018	v1= 0.23735187821755738	v2= 0.11984034676037426
t= 62.000000000000185	v1= 0.2500016829053428	v2= 0.11991925611057375
t= 62.20000000000019	v1= 0.2621593560109434	v2= 0.12023824632522172
t= 62.40000000000019	v1= 0.27384871751437057	v2= 0.12077848846771641
t= 62.60000000000019	v1= 0.2850922959018579	v2= 0.12152234626387733
t= 62.80000000000019	v1= 0.29591140149125694	v2= 0.12245330473358279
t= 63.00000000000019	v1= 0.3063261955240934	v2= 0.1235559030169939
t= 63.200000000000195	v1= 0.31635575527011756	v2= 0.12481567115029951
t= 63.4000000000002	v1= 0.32601813537587665	v2= 0.1262190705602056
t= 63.6000000000002	v1= 0.3353304256753674	v2= 0.12775343805984907
t= 63.8000000000002	v1= 0.3443088056681385	v2= 0.12940693314148816
t= 64.0000000000002	v1= 0.35296859585826557	v2= 0.1311684883732556
t= 64.2000000000002	v1= 0.3613243061363684	v2= 0.13302776271849936
t= 64.4000000000002	v1= 0.36938968137624206	v2= 0.13497509760681936
t= 64.60000000000021	v1= 0.37717774440769414	v2= 0.1370014755958753
t= 64.80000000000021	v1= 0.3847008365177804	v2= 0.13909848147242748
t= 65.00000000000021	v1= 0.3919706556237792	v2= 0.141258265649911
t= 65.20000000000022	v1= 0.3989982922529078	v2= 0.14347350972816805
t= 65.40000000000022	v1= 0.4057942634559333	v2= 0.14573739408880232
t= 65.60000000000022	v1= 0.4123685447744355	v2= 0.14804356740700103
t= 65.80000000000022	v1= 0.41873060037451576	v2= 0.15038611796762286
t= 66.00000000000023	v1= 0.4248894114531868	v2= 0.15275954667989575
t= 66.20000000000022	v1= 0.4308535030175029	v2= 0.15515874169123506
